,시,이름,매장명,주소
1,강원,메가커피,강릉강일점,강원 강릉시 율곡로 2939 (교동)
2,강원,메가커피,강릉교동솔올점,"강원 강릉시 솔올로 63 (교동), 103호"
3,강원,메가커피,강릉교동택지점,"강원도 강릉시 솔올로5번길 55 , 1층 (교동)"
4,강원,메가커피,강릉내곡점,"강원도 강릉시 범일로 628-1, 1층(내곡동)"
5,강원,메가커피,강릉노암점,"강원 강릉시 남부로125번길 5 (노암동, 노암3차한라아파트 상가), 101호"
6,강원,메가커피,강릉송정점,"강원도 강릉시 경강로2477번길 4, (송정동)"
7,강원,메가커피,강릉시외버스터미널점,"강원도 강릉시 하슬라로 27 , 상가동 1층 (홍제동 , 강릉시외버스터미널)"
8,강원,메가커피,강릉옥천오거리점,"강원도 강릉시 율곡로 2810 , (옥천동)"
9,강원,메가커피,강릉유천지구점,"강원도 강릉시 선수촌로63번길 14-16, 104호"
10,강원,메가커피,강릉입암오거리점,"강원도 강릉시 입암로 157, 1층(입암동)"
11,강원,메가커피,강릉입암점,"강원도 강릉시 용지로 23, 1층(입암동)"
12,강원,메가커피,강릉주문진점,"강원도 강릉시 주문진읍 주문로 78, 1층"
13,강원,메가커피,강릉중앙점,"강원도 강릉시 신대학길 24 , 1층(금학동)"
14,강원,메가커피,강릉포남점,"강원도 강릉시 하평길 38 , 1층 (포남동)"
15,강원,메가커피,강원고한역점,강원 정선군 고한읍 고한로 149-2 (고한리)
16,강원,메가커피,강원대점,"강원도 춘천시 서부대성로227번길 24 , (효자동)"
17,강원,메가커피,강원도양양점,"강원도 양양군 양양읍 양양로 66 , 1층"
18,강원,메가커피,강원도홍천점,"강원도 홍천군 홍천읍 희망리 327-1, 1층"
19,강원,메가커피,강원양구점,"강원도 양구군 양구읍 중앙길 16 , (상리)1층"
20,강원,메가커피,강원태백점,"강원 태백시 황지로 172-1 (황지동), 1층"
21,강원,메가커피,경포해수욕장점,"강원도 강릉시 창해로 431, (강문동)"
22,강원,메가커피,동해묵호시장점,"강원 동해시 일출로 56 (묵호진동, 동해바다마트), 1층"
23,강원,메가커피,동해쇄운점,"강원도 동해시 청운1길 48 , 1층 (쇄운동)"
24,강원,메가커피,동해시청점,"강원도 동해시 대학로 20 , 106호 (천곡동 , 명동빌딩)"
25,강원,메가커피,동해천곡점,"강원도 동해시 천곡로 14, 1층 1호(천곡동)"
26,강원,메가커피,동해평릉점,"강원 동해시 하평로 72 (평릉동, 수디자인빌딩), 104호"
27,강원,메가커피,사창리점,"강원도 화천군 사내면 사내로 40-4 , (사창리, 할렐루야슈퍼, 비턴)사창리,1층"
28,강원,메가커피,삼척교동중앙점,"강원도 삼척시 정상로 73, 1층 (교동)"
29,강원,메가커피,삼척중앙점,"강원도 삼척시 진주로 26, 1층 101호(남양동)"
30,강원,메가커피,속초교동점,"강원도 속초시 미시령로 3395, 1층 120 ,121 ,126호(교동 , 현대프라자)"
31,강원,메가커피,속초조양점,"강원도 속초시 동해대로 4147, 에이동 103호(조양동)"
32,강원,메가커피,속초중앙시장점,"강원도 속초시 중앙로 147번길 15, (중앙동)"
33,강원,메가커피,속초해변점,"강원도 속초시 해오름로 167, 103 ,104호(조양동)"
34,강원,메가커피,신철원점,"강원도 철원군 갈말읍 삼부연로 5 , (신철원리)1층"
35,강원,메가커피,원주건강보험공단점,"강원 원주시 건강로 21 (반곡동, 조은빌딩), 1층 105, 106호"
36,강원,메가커피,원주건등점,강원 원주시 문막읍 건등로 43 (건등리)
37,강원,메가커피,원주기업도시점,"강원도 원주시 지정면 신지정로 316-2 , 1층"
38,강원,메가커피,원주단관점,"강원도 원주시 단구로 398, 상가동동 B106호(단구동 , 청솔3차아파트)"
39,강원,메가커피,원주단구점,"강원도 원주시 서원대로 392, 1층 113호 (단구동)"
40,강원,메가커피,원주명륜점,"강원 원주시 남원로 441-2 (명륜동), 1층 103호"
41,강원,메가커피,원주명륜초점,"강원도 원주시 행구로 24, 1층(개운동)"
42,강원,메가커피,원주무실점,"강원도 원주시 능라동길 48-1, 103호(무실동)"
43,강원,메가커피,원주무실중앙점,"강원 원주시 시청로 72 (무실동, 무실동애드피아3), 103호"
44,강원,메가커피,원주반곡점,"강원도 원주시 반곡길 64, 1층 (반곡동)"
45,강원,메가커피,원주봉화산점,"강원 원주시 천사로 20 (단계동, 모닝프라자), 1층 107호"
46,강원,메가커피,원주봉황사거리점,"강원 원주시 봉황2길 17 (반곡동), 1층 101, 102호"
47,강원,메가커피,원주우산점,"강원 원주시 우산로 63 (우산동), 1층"
48,강원,메가커피,원주유승점,"강원 원주시 치악로 1502 (단구동), 1층 좌측호"
49,강원,메가커피,원주중앙점,"강원도 원주시 원일로 113-1 , 2층(일산동)"
50,강원,메가커피,원주터미널점,"강원도 원주시 북원로 2235-4 , 111호(단계동)"
51,강원,메가커피,원주한라비발디점,"강원 원주시 모란1길 70 (우산동, 수정프라자), 1층 110호"
52,강원,메가커피,원주행구점,"강원도 원주시 영랑길 20-1, 상가동 1층 104호(행구동, 행구골드클래스아파트(상가동))"
53,강원,메가커피,원주혁신도시점,"강원도 원주시 혁신로 53, 1층 111호(반곡동)"
54,강원,메가커피,원주흥업사거리점,"강원도 원주시 흥업면 남원로 78, 1층"
55,강원,메가커피,인제신남점,"강원도 인제군 남면 신남로 28 , 1층"
56,강원,메가커피,인제원통점,강원도 인제군 북면 원통로147번길 37
57,강원,메가커피,인제점,"강원도 인제군 인제읍 인제로 194 , (상동리)1층"
58,강원,메가커피,인제천도리점,강원도 인제군 서화면 천도로 153
59,강원,메가커피,인제현리점,강원도 인제군 기린면 내린천로 4018
60,강원,메가커피,정선사북점,"강원 정선군 사북읍 사북중앙로 29-2 (사북리), 1층"
61,강원,메가커피,철원동송점,"강원도 철원군 동송읍 금학로 210 , (이평리, 중앙서점)1층"
62,강원,메가커피,철원문혜리점,"강원도 철원군 갈말읍 태봉로 1532 , (문혜리, MINI STOP)"
63,강원,메가커피,철원와수리점,"강원도 철원군 서면 와수로 171 , (와수리, 고향 서점)1층"
64,강원,메가커피,춘천공지천점,"강원도 춘천시 수변공원길 19, 103호(삼천동)"
65,강원,메가커피,춘천봄내초점,"강원도 춘천시 퇴계로 217 , (석사동)"
66,강원,메가커피,춘천석사점,"강원도 춘천시 퇴계농공로 22, 110호(석사동 ,프라임타워)"
67,강원,메가커피,춘천애막골점,"강원 춘천시 후석로186번길 16 (석사동), 1층"
68,강원,메가커피,춘천온의점,"강원도 춘천시 춘천로 17번길 21 , 1층 메가커피"
69,강원,메가커피,춘천온의파크점,"강원도 춘천시 스포츠타운길 522, 1층 101호(온의동)"
70,강원,메가커피,춘천우두점,"강원도 춘천시 우두5길 36, 1층 101호(우두동)"
71,강원,메가커피,춘천팔호광장점,"강원도 춘천시 효자로 154 , 1층 (효자동)"
72,강원,메가커피,춘천한숲시티점,"강원도 춘천시 안마산로 115 , A3동 101호 (퇴계원동)"
73,강원,메가커피,춘천후평점,"강원도 춘천시 후석로 326, 111호(후평동 ,엠타워)"
74,강원,메가커피,화천점,"강원도 화천군 화천읍 중앙로 3-2 , (하리, 동아스포츠)메가커피"
75,강원,벤티,강릉내곡점,강원 강릉시 내곡동 422-9 101호
76,강원,벤티,강원대점,강원 춘천시 효자동 627-9  
77,강원,벤티,강원양구점,강원 양구군 양구읍 중심로 192 (상리)  
78,강원,벤티,강원횡성점,강원 횡성군 횡성읍 한우로 279-1 (읍하리) 1층 2호
79,강원,벤티,동송터미널점,"강원 철원군 동송읍 금학로 212 (이평리, 바이더웨이), 1층  "
80,강원,벤티,속초해변점,강원 속초시 해오름로 204 (조양동) 호텔1층
81,강원,벤티,원주기업도시점,강원 원주시 지정면 가곡리 1348-4  
82,강원,벤티,원주단계점,강원 원주시 단계동 1119-3  106호
83,강원,벤티,원주단관점,강원 원주시 단구로 370 (단구동) 1층 우측상가
84,강원,벤티,원주단구점,"강원 원주시 서원대로 408 (단구동, 광장빌딩) 1층 114호"
85,강원,벤티,원주무실점,강원 원주시 무실동 1857-1  
86,강원,벤티,원주원예하나로클럽점,"강원 원주시 무실로 182 (단계동, 원주원예농협하나로클럽) 1층  "
87,강원,벤티,원주중앙점,강원 원주시 무실로 1 (일산동)  
88,강원,벤티,원주태장점,강원 원주시 북원로 2704-4 (태장동)  
89,강원,벤티,철원와수점,"강원 철원군 서면 와수로 174 (와수리, 김화 치과 의원) 1층"
90,강원,벤티,청학사거리점,강원 속초시 수복로 135-1 (청학동) 1층
91,강원,빽다방,강릉교동중앙점,강원도 강릉시 솔올로 51
92,강원,빽다방,강릉금학점,강원도 강릉시 신대학길 14
93,강원,빽다방,강릉내곡점,"강원 강릉시 범일로 631, 1층"
94,강원,빽다방,강릉유천점,강원 강릉시 선수촌로 79-7 102호
95,강원,빽다방,강릉주문진점,"강원도 강릉시 주문진읍 항구로 65, 1층"
96,강원,빽다방,강릉포남점,강원 강릉시 포남동 1186-1 1층
97,강원,빽다방,강원대점,"강원도 춘천시 서부대성로239번길 4, 1층"
98,강원,빽다방,강원양양점,강원 양양군 양양읍 양양로 57 (남문리) 1층
99,강원,빽다방,강원정선점,강원 정선군 정선읍 봉양6길 25-1 (봉양리) 1층 132호 
100,강원,빽다방,강원화천점,강원도 화천군 화천읍 중앙로 9
101,강원,빽다방,강원횡성점,강원 횡성군 문정로 19번길 4
102,강원,빽다방,동해천곡점,"강원도 동해시 한섬로 111-7, 현진빌딩 106호"
103,강원,빽다방,삼척대학로점,"강원도 삼척시 대학로 23, 1층"
104,강원,빽다방,속초부영점,강원 속초시 청대로 204번길 39 1층
105,강원,빽다방,속초중앙로점,"강원도 속초시 중앙로 123-1번지, 1층"
106,강원,빽다방,원주간현점,강원도 원주시 지정면 소금산길 22 1층
107,강원,빽다방,원주건강보험공단점,"강원도 원주시 반곡동 1913-7 가든식스.(1층 102호,103호)"
108,강원,빽다방,원주기업도시점,"강원도 원주시 지정면 신지정로 322-1, 110호"
109,강원,빽다방,원주단구GS점,"강원도 원주시 남원로534번길 20, 1층"
110,강원,빽다방,원주무실동점,"강원도 원주시 능라동길 51, 시네씨티타워 1층"
111,강원,빽다방,원주장미공원점,"강원도 원주시 장미공원길 32, G2타워 101"
112,강원,빽다방,원주중앙1호점,"강원도 원주시 무실로12번길 31, 1층"
113,강원,빽다방,원주혁신도시점,강원 원주시 반곡동 1886-3
114,강원,빽다방,원주흥업점,"강원도 원주시 흥업면 흥업리 1830-3, 1층"
115,강원,빽다방,철원동송점,강원 철원군 동송읍 이평리 680-93
116,강원,빽다방,춘천명동CGV점,"강원도 춘천시 중앙로67번길 18, 브란운5번가 1105호"
117,강원,빽다방,춘천석사CGV점,"강원도 춘천시 지석로 85, 강남프라자 101호"
118,강원,빽다방,춘천온의점,강원도 춘천시 춘천로 17번길 31 (더스위트캐슬 107호-108호 1층)
119,강원,빽다방,춘천우두택지점,강원도 춘천시 우두동 1118-1  (신축건물 1층 109호)
120,강원,빽다방,춘천한림대점,강원도 춘천시 삭주로 64 (교동 15-3)
121,강원,빽다방,춘천후평점,강원 춘천시 후석로 280
122,강원,빽다방,태백중앙점,강원도 태백시 황지로 164-1
123,강원,빽다방,홍천중앙점,강원도 홍천군 홍천읍 꽃뫼로 99 1층(신장대리 79-52)
124,강원,빽다방,화천사내면,강원도 화천군 사내면 사내로 40-3
125,경기,메가커피,가능역점,"경기도 의정부시 평화로 632 , 1층 (의정부동)"
126,경기,메가커피,가평점,"경기도 가평군 가평읍 가화로 110-1 , 1층"
127,경기,메가커피,가평현리점,"경기도 가평군 조종면 현창로38번길 7 , (현리, 태양전기)1층"
128,경기,메가커피,갈매더샵점,"경기도 구리시 갈매순환로 15, 1층 (갈매동)"
129,경기,메가커피,갈매초점,"경기도 구리시 갈매중앙로55번길 6-4, 상가 101호(갈매동)"
130,경기,메가커피,갈매한라비발디점,"경기도 구리시 갈매순환로 194, 1층(갈매동)"
131,경기,메가커피,경희대국제캠퍼스점,"경기 수원시 영통구 덕영대로 1705 (영통동, 일송프라자), 101호"
132,경기,메가커피,계원예대점,"경기도 의왕시 계원대학로 20, 1층 102호(내손동 , 우성메디컬센타)"
133,경기,메가커피,고강점,"경기도 부천시 오정구 역곡로 505, 1층 104호(고강동)"
134,경기,메가커피,고덕STV점,경기 평택시 고덕면 도시지원1길 19 (해창리)
135,경기,메가커피,고덕메디컬센터점,"경기 평택시 고덕중앙로 218 (고덕동), 111호"
136,경기,메가커피,고덕삼성전자사거리점,"경기 평택시 고덕여염9길 22 (고덕동, 고덕 헤리움 비즈타워 2차), 107호"
137,경기,메가커피,고양경찰서점,"경기 고양시 덕양구 중앙로 628 (화정동, 예일프라자), 105호"
138,경기,메가커피,고양관산점,경기도 고양시 덕양구 관산동 231-49
139,경기,메가커피,고양내유점,"경기도 고양시 덕양구 통일로 1270, 1층 (내유동)"
140,경기,메가커피,고양덕은지구점,"경기 고양시 덕양구 으뜸로 110 (덕은동), 오피스텔동 1층 144호"
141,경기,메가커피,고양도래울점,"경기 고양시 덕양구 도래울로 16 (도내동, 도래울파크뷰(PARK VIEW)), 6단지 상가동 112호"
142,경기,메가커피,고양산들마을점,"경기도 고양시 일산동구 중산로 117, 1층(중산동)"
143,경기,메가커피,고양삼송마을점,"경기도 고양시 덕양구 삼송로 94-22, 101 , 101-1호(삼송동 , 신성프라자)"
144,경기,메가커피,고양삼송시티점,"경기도 고양시 덕양구 동송로 33 , 이편한세상시티 상가 1-007호"
145,경기,메가커피,고양성사점,"경기도 고양시 덕양구 호국로 859, 1층 (성사동)"
146,경기,메가커피,고양푸른마을점,"경기도 고양시 덕양구 푸른마을로 30, 1층 108 ,109호(고양동 , 서정프라자)"
147,경기,메가커피,고양향동점,"경기도 고양시 덕양구 향기로 56 , B02호 (향동동 , 스카이타워)"
148,경기,메가커피,고양향동중앙점,"경기도 고양시 덕양구 향기로 123, 1층(향동동)"
149,경기,메가커피,고양화정점,"경기도 고양시 덕양구 화정동 980, 1층"
150,경기,메가커피,고촌수기마을점,"경기 김포시 고촌읍 인향로24번길 62 (신곡리), 1층"
151,경기,메가커피,곡반한솔점,"경기도 수원시 권선구 동수원로58번길 18 , (곡반정동)"
152,경기,메가커피,과천자이점,"경기도 과천시 별양로 142, 118호(별양동)"
153,경기,메가커피,과천중앙점,"경기도 과천시 별양상가2로 14 , 1층 (별양동 , 제일쇼핑)"
154,경기,메가커피,과천힐스테이트점,"경기 과천시 관문로 92 (중앙동, 힐스테이트 과천중앙), 101동 107호"
155,경기,메가커피,광교법원점,"경기도 수원시 영통구 법조로149번길 122 , 1층 (하동)"
156,경기,메가커피,광교센트럴점,"경기도 수원시 영통구 센트럴타운로 106 , 114호 (이의동 , 센트럴프라자)"
157,경기,메가커피,광교역점,"경기도 수원시 영통구 대학로 47 , 101호(이의동, 스타씨제이3)"
158,경기,메가커피,광교중앙점,"경기도 수원시 영통구 에듀타운로 25 , 1층 101호 (이의동 , 명품프라자)"
159,경기,메가커피,광교중흥어뮤즈스퀘어점,"경기 수원시 영통구 광교호수공원로 277 (원천동, 광교중흥에스클래스), B1-71호"
160,경기,메가커피,광교호수공원점,"경기도 수원시 영통구 법조로 38, 판매시설동 1층 101호(하동 , 광교더샵 레이크파크)"
161,경기,메가커피,광명7동점,"경기도 광명시 도덕로 49-1, 1층(광명동)"
162,경기,메가커피,광명GIDC점,"경기도 광명시 일직로 43, 1층 1074호(일직동 , GIDC)"
163,경기,메가커피,광명G타워점,"경기도 광명시 소하로 190 , (소하동, 광명G타워)"
164,경기,메가커피,광명금당사거리점,"경기 광명시 하안로 254 (하안동, 정산빌딩), 1층 101호"
165,경기,메가커피,광명로데오점,"경기도 광명시 신기로17번길 11 , 102호 (일직동 , 센트럴스퀘어)"
166,경기,메가커피,광명사거리점,"경기도 광명시 광명로 877 , (광명동, 한진아파트)광명한진타운 106호"
167,경기,메가커피,광명소하점,"경기도 광명시 소하로 86 , 1층 104호(소하동 , 제일프라자)"
168,경기,메가커피,광명아크포레점,"경기도 광명시 새터로 44-7, B3층 (광명동 , 광명아크포레자이위브)"
169,경기,메가커피,광명자이타워점,"경기도 광명시 새빛공원로 67, D동 1층 (일직동)"
170,경기,메가커피,광명초사거리점,"경기도 광명시 오리로 948-1, 1~2층 전체호 (광명동)"
171,경기,메가커피,광명하안점,경기도 광명시 하안동 33-1
172,경기,메가커피,구래신도시점,경기도 김포시 김포한강9로75번길 180
173,경기,메가커피,구래중앙점,"경기 김포시 김포한강8로 386 (구래동, 김포센트럴프라자2), 1층 109호"
174,경기,메가커피,구리갈매점,"경기도 구리시 경춘북로 252, 841동 1층 A117호(갈매동 , 갈매역아이파크)"
175,경기,메가커피,구리돌다리점,"경기도 구리시 검배로6번길 3 , 101호(수택동)"
176,경기,메가커피,구리수택점,"경기도 구리시 체육관로80번길 41 , (수택동, 신안빌딩)신안빌딩 104호"
177,경기,메가커피,구리수택중앙점,"경기 구리시 검배로 55 (수택동), 1층 106호"
178,경기,메가커피,구리아름마을점,"경기도 구리시 동구릉로85번길 30, 1층(인창동)"
179,경기,메가커피,구리역점,"경기도 구리시 건원대로34번길 17 , (인창동, 금영빌딩)"
180,경기,메가커피,구리인창점,"경기도 구리시 건원대로 95 , 1층 104호"
181,경기,메가커피,구리장자호수점,"경기도 구리시 장자대로 82 , 103호 (수택동 , 우건빌딩)"
182,경기,메가커피,구리한양대병원점,"경기도 구리시 경춘로 164 , (교문동)"
183,경기,메가커피,구성점,"경기도 용인시 기흥구 용구대로2394번길 2, 1층(마북동)"
184,경기,메가커피,구운일월점,"경기도 수원시 권선구 일월천로16번길 30 , (구운동)"
185,경기,메가커피,군포당동점,"경기도 군포시 군포로456번길 13 , 102호(당동 , 와이비프라자)"
186,경기,메가커피,군포당정점,"경기도 군포시 당정동 970-9, 104호"
187,경기,메가커피,군포송정지구점,"경기도 군포시 송부로 92, 1층 (도마교동)"
188,경기,메가커피,군포중앙점,"경기 군포시 군포로 494 (당동), 1층 103호"
189,경기,메가커피,군포첨단산업단지점,"경기도 군포시 번영로 40 , 1층 (부곡동)"
190,경기,메가커피,금곡중앙점,"경기도 남양주시 금곡로 72 , 1층 (금곡동 , 센터프라자)"
191,경기,메가커피,금정역점,"경기도 군포시 산본천로 230, 1층(산본동)"
